Symbol,Name,Release Date,Release Time
OCUL,"Ocular Therapeutix, Inc.",08/09/2021,Post-Market
APPF,"AppFolio, Inc.",08/09/2021,Post-Market
ADMS,"Adamas Pharmaceuticals, Inc.",08/09/2021,Post-Market
SQSP,"Squarespace, Inc.",08/09/2021,Post-Market
REPH,"Recro Pharma, Inc.",08/09/2021,Post-Market
CSTL,"Castle Biosciences, Inc.",08/09/2021,Post-Market
APTS,"Preferred Apartment Communities, Inc.",08/09/2021,Post-Market
NGL,NGL Energy Partners LP,08/09/2021,Post-Market
BCEI,"Bonanza Creek Energy, Inc.",08/09/2021,Post-Market
VRRM,Verra Mobility Corporation,08/09/2021,Post-Market
LOTZ,"CarLotz, Inc.",08/09/2021,Post-Market
LYRA,"Lyra Therapeutics, Inc.",08/09/2021,Post-Market
NEXI,"NexImmune, Inc.",08/09/2021,Post-Market
BARK,The Original BARK Company,08/09/2021,Post-Market
ROVR,"Rover Group, Inc.",08/09/2021,Post-Market
REAL,"The RealReal, Inc.",08/09/2021,Post-Market
LFT,"Lument Finance Trust, Inc.",08/09/2021,Post-Market
TALK-OLD,Hudson Executive Investment Corp.,08/09/2021,Post-Market
WES,"Western Midstream Partners, LP",08/09/2021,Post-Market
COMP,"Compass, Inc.",08/09/2021,Post-Market
MILE,"Metromile, Inc.",08/09/2021,Post-Market
OSH,"Oak Street Health, Inc.",08/09/2021,Post-Market
IIIV,"i3 Verticals, Inc.",08/09/2021,Post-Market
ARCT,Arcturus Therapeutics Holdings Inc.,08/09/2021,Post-Market
CHMI,Cherry Hill Mortgage Investment Corporation,08/09/2021,Post-Market
ATRA,"Atara Biotherapeutics, Inc.",08/09/2021,Post-Market
TPTX,"Turning Point Therapeutics, Inc.",08/09/2021,Post-Market
CELC,Celcuity Inc.,08/09/2021,Post-Market
TCDA,"Tricida, Inc.",08/09/2021,Post-Market
ALHC,"Alignment Healthcare, Inc.",08/09/2021,Post-Market
BRMK,Broadmark Realty Capital Inc.,08/09/2021,Post-Market
SDC,"SmileDirectClub, Inc.",08/09/2021,Post-Market
OR,Osisko Gold Royalties Ltd,08/09/2021,Post-Market
PLSE,"Pulse Biosciences, Inc.",08/09/2021,Post-Market
EXTN,Exterran Corporation,08/09/2021,Post-Market
FLNT,"Fluent, Inc.",08/09/2021,Post-Market
SAIL,"SailPoint Technologies Holdings, Inc.",08/09/2021,Post-Market
PLNT,"Planet Fitness, Inc.",08/09/2021,Post-Market
CLPR,Clipper Realty Inc.,08/09/2021,Post-Market
ADV,Advantage Solutions Inc.,08/09/2021,Post-Market
FLGT,"Fulgent Genetics, Inc.",08/09/2021,Post-Market
AZYO,"Aziyo Biologics, Inc.",08/09/2021,Post-Market
ID,"PARTS iD, Inc.",08/09/2021,Post-Market
WTRH,Waitr Holdings Inc.,08/09/2021,Post-Market
BRP,"BRP Group, Inc.",08/09/2021,Post-Market
GPMT,Granite Point Mortgage Trust Inc.,08/09/2021,Post-Market
PRPL,"Purple Innovation, Inc.",08/09/2021,Post-Market
SIC,"Select Interior Concepts, Inc.",08/09/2021,Post-Market
OUST,"Ouster, Inc.",08/09/2021,Post-Market
