Symbol,Name,Release Date,Release Time
XENE,Xenon Pharmaceuticals Inc.,08/11/2021,Post-Market
ARAY,Accuray Incorporated,08/11/2021,Post-Market
ASM,Avino Silver & Gold Mines Ltd.,08/11/2021,Post-Market
FSM,Fortuna Silver Mines Inc.,08/11/2021,Post-Market
DMAC,DiaMedica Therapeutics Inc.,08/11/2021,Post-Market
GHLD,Guild Holdings Company,08/11/2021,Post-Market
BWMN,Bowman Consulting Group Ltd.,08/11/2021,Post-Market
AOSL,Alpha and Omega Semiconductor Limited,08/11/2021,Post-Market
SONO,"Sonos, Inc.",08/11/2021,Post-Market
GOVX,"GeoVax Labs, Inc.",08/11/2021,Post-Market
GOCO,"GoHealth, Inc.",08/11/2021,Post-Market
ESEA,Euroseas Ltd.,08/11/2021,Post-Market
AXU,Alexco Resource Corp.,08/11/2021,Post-Market
ATEX,Anterix Inc.,08/11/2021,Post-Market
PAYO,Payoneer Global Inc.,08/11/2021,Post-Market
TCON,"TRACON Pharmaceuticals, Inc.",08/11/2021,Post-Market
IFS,Intercorp Financial Services Inc.,08/11/2021,Post-Market
FNV,Franco-Nevada Corporation,08/11/2021,Post-Market
OBLG,Oblong Inc.,08/11/2021,Post-Market
HSTO,Histogen Inc.,08/11/2021,Post-Market
ADMA,"ADMA Biologics, Inc.",08/11/2021,Post-Market
ARRY,"Array Technologies, Inc.",08/11/2021,Post-Market
BLNK,Blink Charging Co.,08/11/2021,Post-Market
CNFR,"Conifer Holdings, Inc.",08/11/2021,Post-Market
TKNO,"Alpha Teknova, Inc.",08/11/2021,Post-Market
DIBS,"1stdibs.Com, Inc.",08/11/2021,Post-Market
MQ,"Marqeta, Inc.",08/11/2021,Post-Market
DUOL,"Duolingo, Inc.",08/11/2021,Post-Market
XONE,The ExOne Company,08/11/2021,Post-Market
APP,AppLovin Corporation,08/11/2021,Post-Market
RESN,Resonant Inc.,08/11/2021,Post-Market
VRM,"Vroom, Inc.",08/11/2021,Post-Market
MDVL,"MedAvail Holdings, Inc",08/11/2021,Post-Market
OPEN,Opendoor Technologies Inc.,08/11/2021,Post-Market
RVMD,"Revolution Medicines, Inc.",08/11/2021,Post-Market
CCAP,"Crescent Capital BDC, Inc.",08/11/2021,Post-Market
ACVA,ACV Auctions Inc.,08/11/2021,Post-Market
EYEN,"Eyenovia, Inc.",08/11/2021,Post-Market
LSF,"Laird Superfood, Inc.",08/11/2021,Post-Market
BMTX,"BM Technologies, Inc.",08/11/2021,Post-Market
DM,"Desktop Metal, Inc.",08/11/2021,Post-Market
CLOV,"Clover Health Investments, Corp.",08/11/2021,Post-Market
BMBL,Bumble Inc.,08/11/2021,Post-Market
RXT,"Rackspace Technology, Inc.",08/11/2021,Post-Market
RDVT,"Red Violet, Inc.",08/11/2021,Post-Market
HIMS,"Hims & Hers Health, Inc.",08/11/2021,Post-Market
MSP,Datto Holding Corp.,08/11/2021,Post-Market
AVAH,Aveanna Healthcare Holdings Inc.,08/11/2021,Post-Market
GBS,GBS Inc.,08/11/2021,Post-Market
FTHM,Fathom Holdings Inc.,08/11/2021,Post-Market
ROOT,"Root, Inc.",08/11/2021,Post-Market
RIDE,Lordstown Motors Corp.,08/11/2021,Post-Market
NGMS,NeoGames S.A.,08/11/2021,Post-Market
TIG,"Trean Insurance Group, Inc.",08/11/2021,Post-Market
MSGM,Motorsport Games Inc.,08/11/2021,Post-Market
CPNG,"Coupang, Inc.",08/11/2021,Post-Market
LFST,"LifeStance Health Group, Inc.",08/11/2021,Post-Market
WKME,WalkMe Ltd.,08/11/2021,Post-Market
SNGX,"Soligenix, Inc.",08/11/2021,Estimated
CYCC,"Cyclacel Pharmaceuticals, Inc.",08/11/2021,Estimated
EML,The Eastern Company,08/11/2021,Estimated
AAME,Atlantic American Corporation,08/11/2021,Estimated
AIKI,AIkido Pharma Inc.,08/11/2021,Estimated
DDS,"Dillard's, Inc.",08/11/2021,Estimated
KRMD,"Repro Med Systems, Inc.",08/11/2021,Estimated
TAYD,"Taylor Devices, Inc.",08/11/2021,Estimated
JAX,"J. Alexander's Holdings, Inc.",08/11/2021,Estimated
PRGO,Perrigo Company plc,08/11/2021,Estimated
NAVB,"Navidea Biopharmaceuticals, Inc.",08/11/2021,Estimated
PESI,"Perma-Fix Environmental Services, Inc.",08/11/2021,Estimated
SYKE,"Sykes Enterprises, Incorporated",08/11/2021,Estimated
BDR,"Blonder Tongue Laboratories, Inc.",08/11/2021,Estimated
CARV,"Carver Bancorp, Inc.",08/11/2021,Estimated
PRPH,"ProPhase Labs, Inc.",08/11/2021,Estimated
GMDA,Gamida Cell Ltd.,08/11/2021,Estimated
CAE,CAE Inc.,08/11/2021,Estimated
PCOM,Points International Ltd.,08/11/2021,Estimated
SA,Seabridge Gold Inc.,08/11/2021,Estimated
CLDB,Cortland Bancorp,08/11/2021,Estimated
EVGN,Evogene Ltd.,08/11/2021,Estimated
PHAS,"PhaseBio Pharmaceuticals, Inc.",08/11/2021,Estimated
YTEN,"Yield10 Bioscience, Inc.",08/11/2021,Estimated
PPSI,"Pioneer Power Solutions, Inc.",08/11/2021,Estimated
ALT,"Altimmune, Inc.",08/11/2021,Estimated
HGEN,"Humanigen, Inc.",08/11/2021,Estimated
JE,Just Energy Group Inc.,08/11/2021,Estimated
SINT,"Sintx Technologies, Inc.",08/11/2021,Estimated
BTRS,BTRS Holdings Inc.,08/11/2021,Estimated
IMV,IMV Inc.,08/11/2021,Estimated
SFL,SFL Corporation Ltd.,08/11/2021,Estimated
RMED,"Ra Medical Systems, Inc.",08/11/2021,Estimated
MNKD,MannKind Corporation,08/11/2021,Estimated
SSNT,"SilverSun Technologies, Inc.",08/11/2021,Estimated
ALIM,"Alimera Sciences, Inc.",08/11/2021,Estimated
HFBL,"Home Federal Bancorp, Inc. of Louisiana",08/11/2021,Estimated
PULM,"Pulmatrix, Inc.",08/11/2021,Estimated
HJLI,"Hancock Jaffe Laboratories, Inc.",08/11/2021,Estimated
NEON,Neonode Inc.,08/11/2021,Estimated
AEYE,"AudioEye, Inc.",08/11/2021,Estimated
ARDS,"Aridis Pharmaceuticals, Inc.",08/11/2021,Estimated
VIRX,"Viracta Therapeutics, Inc.",08/11/2021,Estimated
AMWL,American Well Corporation,08/11/2021,Estimated
OAK.PB,"Oaktree Capital Group, LLC 6.550 PFD UNT B",08/11/2021,Estimated
SMWB,Similarweb Ltd.,08/11/2021,Estimated
HTBX,"Heat Biologics, Inc.",08/11/2021,Estimated
XCUR,"Exicure, Inc.",08/11/2021,Estimated
IMNM,"Immunome, Inc.",08/11/2021,Estimated
LAND,Gladstone Land Corporation,08/11/2021,Estimated
DRIO,DarioHealth Corp.,08/11/2021,Estimated
GRAY,"Graybug Vision, Inc.",08/11/2021,Estimated
SNBP,"Sun BioPharma, Inc.",08/11/2021,Estimated
SBEV,"Splash Beverage Group, Inc.",08/11/2021,Estimated
TELA,"TELA Bio, Inc.",08/11/2021,Estimated
GNPX,"Genprex, Inc.",08/11/2021,Estimated
WTER,The Alkaline Water Company Inc.,08/11/2021,Estimated
OPTN,"OptiNose, Inc.",08/11/2021,Estimated
CUEN,Cuentas Inc.,08/11/2021,Estimated
ZOM,Zomedica Corp.,08/11/2021,Estimated
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",08/11/2021,Estimated
STTK,"Shattuck Labs, Inc.",08/11/2021,Estimated
SPRB,"Spruce Biosciences, Inc.",08/11/2021,Estimated
JRSH,"Jerash Holdings (US), Inc.",08/11/2021,Estimated
BHAT,Fujian Blue Hat Interactive Entertainment Technology Ltd.,08/11/2021,Estimated
EVFM,"Evofem Biosciences, Inc.",08/11/2021,Estimated
ADTX,"Aditxt, Inc.",08/11/2021,Estimated
APPH,"AppHarvest, Inc.",08/11/2021,Estimated
INZY,"Inozyme Pharma, Inc.",08/11/2021,Estimated
STNE,StoneCo Ltd.,08/11/2021,Estimated
THCA,Tuscan Holdings Corp. II,08/11/2021,Estimated
IPSC,"Century Therapeutics, Inc.",08/11/2021,Estimated
KDNY,"Chinook Therapeutics, Inc.",08/11/2021,Estimated
ATC,Atotech Limited,08/11/2021,Estimated
COGT,"Cogent Biosciences, Inc.",08/11/2021,Estimated
MCAE,Mountain Crest Acquisition Corp. III,08/11/2021,Estimated
SHC,Sotera Health Company,08/12/2021,Pre-Market
RDCM,RADCOM Ltd.,08/12/2021,Pre-Market
AMS,American Shared Hospital Services,08/12/2021,Pre-Market
APYX,Apyx Medical Corporation,08/12/2021,Pre-Market
DWSN,Dawson Geophysical Company,08/12/2021,Pre-Market
KELYA,"Kelly Services, Inc.",08/12/2021,Pre-Market
MIDD,The Middleby Corporation,08/12/2021,Pre-Market
PFIN,"P&F Industries, Inc.",08/12/2021,Pre-Market
VERU,Veru Inc.,08/12/2021,Pre-Market
EYE,"National Vision Holdings, Inc.",08/12/2021,Pre-Market
NSYS,Nortech Systems Incorporated,08/12/2021,Pre-Market
EFOI,"Energy Focus, Inc.",08/12/2021,Pre-Market
BAM,Brookfield Asset Management Inc.,08/12/2021,Pre-Market
CSU,Capital Senior Living Corporation,08/12/2021,Pre-Market
NGS,"Natural Gas Services Group, Inc.",08/12/2021,Pre-Market
ARKO,Arko Corp.,08/12/2021,Pre-Market
NEPT,Neptune Wellness Solutions Inc.,08/12/2021,Pre-Market
FA,First Advantage Corporation,08/12/2021,Pre-Market
VYNE,VYNE Therapeutics Inc.,08/12/2021,Pre-Market
PGTI,"PGT Innovations, Inc.",08/12/2021,Pre-Market
SOHO,Sotherly Hotels Inc.,08/12/2021,Pre-Market
EURN,Euronav NV,08/12/2021,Pre-Market
GAU,Galiano Gold Inc.,08/12/2021,Pre-Market
INFU,InfuSystem Holdings Inc.,08/12/2021,Pre-Market
AZEK,The AZEK Company Inc.,08/12/2021,Pre-Market
CELH,"Celsius Holdings, Inc.",08/12/2021,Pre-Market
PLTR,Palantir Technologies Inc.,08/12/2021,Pre-Market
PDSB,PDS Biotechnology Corporation,08/12/2021,Pre-Market
TAST,"Carrols Restaurant Group, Inc.",08/12/2021,Pre-Market
CYBR,CyberArk Software Ltd.,08/12/2021,Pre-Market
VIRI,"Virios Therapeutics, Inc.",08/12/2021,Pre-Market
NYC,"New York City REIT, Inc.",08/12/2021,Pre-Market
INSE,"Inspired Entertainment, Inc.",08/12/2021,Pre-Market
BFI,"BurgerFi International, Inc.",08/12/2021,Pre-Market
ETTX,Entasis Therapeutics Holdings Inc.,08/12/2021,Pre-Market
HOOK,HOOKIPA Pharma Inc.,08/12/2021,Pre-Market
GDRX,"GoodRx Holdings, Inc.",08/12/2021,Pre-Market
UTZ,"Utz Brands, Inc.",08/12/2021,Pre-Market
GOED,1847 Goedeker Inc.,08/12/2021,Pre-Market
ARVL,Arrival,08/12/2021,Pre-Market
OGN,Organon & Co.,08/12/2021,Pre-Market
FSTX,"F-star Therapeutics, Inc.",08/12/2021,Pre-Market
ALIT,"Alight, Inc.",08/12/2021,Pre-Market
MKTW,"MarketWise, Inc.",08/12/2021,Pre-Market
SFE,"Safeguard Scientifics, Inc.",08/12/2021,Post-Market
LCTX,"Lineage Cell Therapeutics, Inc.",08/12/2021,Post-Market
BSQR,BSQUARE Corporation,08/12/2021,Post-Market
AWH,Aspira Women's Health Inc.,08/12/2021,Post-Market
EVOL,"Evolving Systems, Inc.",08/12/2021,Post-Market
ICCC,ImmuCell Corporation,08/12/2021,Post-Market
IRIX,IRIDEX Corporation,08/12/2021,Post-Market
THMO,"ThermoGenesis Holdings, Inc.",08/12/2021,Post-Market
VIAV,Viavi Solutions Inc.,08/12/2021,Post-Market
NPCE,"NeuroPace, Inc.",08/12/2021,Post-Market
DIS,The Walt Disney Company,08/12/2021,Post-Market
BLFS,"BioLife Solutions, Inc.",08/12/2021,Post-Market
DCO,Ducommun Incorporated,08/12/2021,Post-Market
SXI,Standex International Corporation,08/12/2021,Post-Market
BIOL,"BIOLASE, Inc.",08/12/2021,Post-Market
BAP,Credicorp Ltd.,08/12/2021,Post-Market
KINS,"Kingstone Companies, Inc.",08/12/2021,Post-Market
USIO,"Usio, Inc.",08/12/2021,Post-Market
AEY,"ADDvantage Technologies Group, Inc.",08/12/2021,Post-Market
LFMD,"LifeMD, Inc.",08/12/2021,Post-Market
LVOX,"LiveVox Holding, Inc.",08/12/2021,Post-Market
FLO,"Flowers Foods, Inc.",08/12/2021,Post-Market
OPGN,"OpGen, Inc.",08/12/2021,Post-Market
PTE,"PolarityTE, Inc.",08/12/2021,Post-Market
HTGM,"HTG Molecular Diagnostics, Inc.",08/12/2021,Post-Market
WPM,Wheaton Precious Metals Corp.,08/12/2021,Post-Market
REED,"Reed's, Inc.",08/12/2021,Post-Market
CRCT,"Cricut, Inc.",08/12/2021,Post-Market
ALTG,Alta Equipment Group Inc.,08/12/2021,Post-Market
APDN,"Applied DNA Sciences, Inc.",08/12/2021,Post-Market
SHSP,"SharpSpring, Inc.",08/12/2021,Post-Market
LZ,"LegalZoom.com, Inc.",08/12/2021,Post-Market
CAPR,"Capricor Therapeutics, Inc.",08/12/2021,Post-Market
NBY,"NovaBay Pharmaceuticals, Inc.",08/12/2021,Post-Market
BEEM,Beam Global,08/12/2021,Post-Market
EVOK,"Evoke Pharma, Inc.",08/12/2021,Post-Market
MRAM,"Everspin Technologies, Inc.",08/12/2021,Post-Market
CODX,"Co-Diagnostics, Inc.",08/12/2021,Post-Market
ELDN,"Eledon Pharmaceuticals, Inc.",08/12/2021,Post-Market
IAS,Integral Ad Science Holding Corp.,08/12/2021,Post-Market
CRMD,CorMedix Inc.,08/12/2021,Post-Market
XL,XL Fleet Corp.,08/12/2021,Post-Market
ORGN,"Origin Materials, Inc.",08/12/2021,Post-Market
LIVX,"LiveXLive Media, Inc.",08/12/2021,Post-Market
ZVIA,Zevia PBC,08/12/2021,Post-Market
PVG,Pretium Resources Inc.,08/12/2021,Post-Market
DSP,Viant Technology Inc.,08/12/2021,Post-Market
ABNB,"Airbnb, Inc.",08/12/2021,Post-Market
TLMD,"SOC Telemed, Inc.",08/12/2021,Post-Market
AGRO,Adecoagro S.A.,08/12/2021,Post-Market
WISH,ContextLogic Inc.,08/12/2021,Post-Market
IGIC,International General Insurance Holdings Ltd.,08/12/2021,Post-Market
FRGI,"Fiesta Restaurant Group, Inc.",08/12/2021,Post-Market
SGHT,"Sight Sciences, Inc.",08/12/2021,Post-Market
SOFI,"SoFi Technologies, Inc.",08/12/2021,Post-Market
MDWT,Midwest Holding Inc.,08/12/2021,Post-Market
SNES,"SenesTech, Inc.",08/12/2021,Post-Market
FIGS,"FIGS, Inc.",08/12/2021,Post-Market
DASH,"DoorDash, Inc.",08/12/2021,Post-Market
GLOB,Globant S.A.,08/12/2021,Post-Market
OSCR,"Oscar Health, Inc.",08/12/2021,Post-Market
PROG,"Progenity, Inc.",08/12/2021,Post-Market
LMB,"Limbach Holdings, Inc.",08/12/2021,Post-Market
HSDT,"Helius Medical Technologies, Inc.",08/12/2021,Post-Market
SYBX,"Synlogic, Inc.",08/12/2021,Post-Market
EAST,"Eastside Distilling, Inc.",08/12/2021,Post-Market
BW,"Babcock & Wilcox Enterprises, Inc.",08/12/2021,Post-Market
HYFM,"Hydrofarm Holdings Group, Inc.",08/12/2021,Post-Market
EAR,"Eargo, Inc.",08/12/2021,Post-Market
MAX,"MediaAlpha, Inc.",08/12/2021,Post-Market
XMTR,"Xometry, Inc.",08/12/2021,Post-Market
MCW,"Mister Car Wash, Inc.",08/12/2021,Post-Market
RLAY,"Relay Therapeutics, Inc.",08/12/2021,Post-Market
MOTS,"Motus GI Holdings, Inc.",08/12/2021,Post-Market
AEVA,"Aeva Technologies, Inc.",08/12/2021,Post-Market
LAZR,"Luminar Technologies, Inc.",08/12/2021,Post-Market
SNDL,Sundial Growers Inc.,08/12/2021,Post-Market
TTCF,"Tattooed Chef, Inc.",08/12/2021,Post-Market
NVVE,Nuvve Holding Corp.,08/12/2021,Post-Market
PAGS,PagSeguro Digital Ltd.,08/12/2021,Post-Market
SEER,"Seer, Inc.",08/12/2021,Post-Market
LMPX,"LMP Automotive Holdings, Inc.",08/12/2021,Post-Market
TFFP,"TFF Pharmaceuticals, Inc.",08/12/2021,Post-Market
KRT,Karat Packaging Inc.,08/12/2021,Post-Market
HOFV,Hall of Fame Resort & Entertainment Company,08/12/2021,Post-Market
AOMR,"Angel Oak Mortgage, Inc.",08/12/2021,Post-Market
CTOS,"Custom Truck One Source, Inc.",08/12/2021,Post-Market
FORA,Forian Inc.,08/12/2021,Post-Market
ASTR,"Astra Space, Inc.",08/12/2021,Post-Market
RSI,"Rush Street Interactive, Inc.",08/12/2021,Post-Market
CNVY,"Convey Holding Parent, Inc.",08/12/2021,Post-Market
IDRA,"Idera Pharmaceuticals, Inc.",08/12/2021,Estimated
CBAY,"CymaBay Therapeutics, Inc.",08/12/2021,Estimated
SWIR,"Sierra Wireless, Inc.",08/12/2021,Estimated
MDP,Meredith Corporation,08/12/2021,Estimated
COHR,"Coherent, Inc.",08/12/2021,Estimated
AE,"Adams Resources & Energy, Inc.",08/12/2021,Estimated
AIRT,"Air T, Inc.",08/12/2021,Estimated
CVM,CEL-SCI Corporation,08/12/2021,Estimated
CLSN,Celsion Corporation,08/12/2021,Estimated
CLRO,"ClearOne, Inc.",08/12/2021,Estimated
IMKTA,"Ingles Markets, Incorporated",08/12/2021,Estimated
IOR,"Income Opportunity Realty Investors, Inc.",08/12/2021,Estimated
GPX,GP Strategies Corporation,08/12/2021,Estimated
RCMT,"RCM Technologies, Inc.",08/12/2021,Estimated
SBR,Sabine Royalty Trust,08/12/2021,Estimated
INTZ,Intrusion Inc.,08/12/2021,Estimated
CYAN,Cyanotech Corporation,08/12/2021,Estimated
IEC,IEC Electronics Corp.,08/12/2021,Estimated
MAGS,Magal Security Systems Ltd.,08/12/2021,Estimated
SYPR,"Sypris Solutions, Inc.",08/12/2021,Estimated
IMH,"Impac Mortgage Holdings, Inc.",08/12/2021,Estimated
CASI,"CASI Pharmaceuticals, Inc.",08/12/2021,Estimated
SPPI,"Spectrum Pharmaceuticals, Inc.",08/12/2021,Estimated
ALJJ,"ALJ Regional Holdings, Inc.",08/12/2021,Estimated
NTIP,"Network-1 Technologies, Inc.",08/12/2021,Estimated
MGIC,Magic Software Enterprises Ltd.,08/12/2021,Estimated
SGRP,"SPAR Group, Inc.",08/12/2021,Estimated
EMAN,eMagin Corporation,08/12/2021,Estimated
ELTK,Eltek Ltd.,08/12/2021,Estimated
CEL,Cellcom Israel Ltd.,08/12/2021,Estimated
ENS,EnerSys,08/12/2021,Estimated
ESLT,Elbit Systems Ltd.,08/12/2021,Estimated
RBCN,"Rubicon Technology, Inc.",08/12/2021,Estimated
ONTX,"Onconova Therapeutics, Inc.",08/12/2021,Estimated
BR,"Broadridge Financial Solutions, Inc.",08/12/2021,Estimated
BIOC,"Biocept, Inc.",08/12/2021,Estimated
FENC,Fennec Pharmaceuticals Inc.,08/12/2021,Estimated
PYR,PyroGenesis Canada Inc.,08/12/2021,Estimated
VTSI,"VirTra, Inc.",08/12/2021,Estimated
ISARF,Ishares Canadian Dex Universe Bond Index Fund,08/12/2021,Estimated
MYSZ,"My Size, Inc.",08/12/2021,Estimated
DYAI,"Dyadic International, Inc.",08/12/2021,Estimated
IUSPF,iShares S&P/TSX Capped REIT Index ETF,08/12/2021,Estimated
EYES,"Second Sight Medical Products, Inc.",08/12/2021,Estimated
MAG,MAG Silver Corp.,08/12/2021,Estimated
NVGS,Navigator Holdings Ltd.,08/12/2021,Estimated
ITSXF,iShares S&P/TSX Capped Financials Index ETF,08/12/2021,Estimated
OSS,"One Stop Systems, Inc.",08/12/2021,Estimated
DUOT,"Duos Technologies Group, Inc.",08/12/2021,Estimated
AVXL,Anavex Life Sciences Corp.,08/12/2021,Estimated
FAPPF,First Asset Pipe&Pwr,08/12/2021,Estimated
ALRN,"Aileron Therapeutics, Inc.",08/12/2021,Estimated
YTRA,"Yatra Online, Inc.",08/12/2021,Estimated
SNMP,Evolve Transition Infrastructure LP,08/12/2021,Estimated
AMTX,"Aemetis, Inc.",08/12/2021,Estimated
EYEG,"EyeGate Pharmaceuticals, Inc.",08/12/2021,Estimated
INPX,Inpixon,08/12/2021,Estimated
IZEA,"IZEA Worldwide, Inc.",08/12/2021,Estimated
CSIQ,Canadian Solar Inc.,08/12/2021,Estimated
GEVO,"Gevo, Inc.",08/12/2021,Estimated
GLBS,Globus Maritime Limited,08/12/2021,Estimated
ALYA,Alithya Group Inc.,08/12/2021,Estimated
DTIL,"Precision BioSciences, Inc.",08/12/2021,Estimated
TRVN,"Trevena, Inc.",08/12/2021,Estimated
VIVE,"Viveve Medical, Inc.",08/12/2021,Estimated
NDRA,ENDRA Life Sciences Inc.,08/12/2021,Estimated
PRFX,PainReform Ltd.,08/12/2021,Estimated
SRNE,"Sorrento Therapeutics, Inc.",08/12/2021,Estimated
KMPH,"KemPharm, Inc.",08/12/2021,Estimated
SESN,"Sesen Bio, Inc.",08/12/2021,Estimated
CATB,"Catabasis Pharmaceuticals, Inc.",08/12/2021,Estimated
PHUN,"Phunware, Inc.",08/12/2021,Estimated
BBI,"Brickell Biotech, Inc.",08/12/2021,Estimated
STAF,"Staffing 360 Solutions, Inc.",08/12/2021,Estimated
VNRX,VolitionRx Limited,08/12/2021,Estimated
NOVN,"Novan, Inc.",08/12/2021,Estimated
MOXC,"Moxian, Inc.",08/12/2021,Estimated
AFIB,"Acutus Medical, Inc.",08/12/2021,Estimated
PHIO,Phio Pharmaceuticals Corp.,08/12/2021,Estimated
BCEL,"Atreca, Inc.",08/12/2021,Estimated
PED,PEDEVCO Corp.,08/12/2021,Estimated
ALNA,"Allena Pharmaceuticals, Inc.",08/12/2021,Estimated
HTBI,"HomeTrust Bancshares, Inc.",08/12/2021,Estimated
SOLY,"Soliton, Inc.",08/12/2021,Estimated
ALLK,Allakos Inc.,08/12/2021,Estimated
TRVI,"Trevi Therapeutics, Inc.",08/12/2021,Estimated
ADN,"Advent Technologies Holdings, Inc.",08/12/2021,Estimated
NGHCN,National General Holdings Corp. DEP SHS PFD C,08/12/2021,Estimated
DTLA.P,Brookfield DTLA Fund Office Trust Investor Inc. PFD SER A 7.625%,08/12/2021,Estimated
IPWR,Ideal Power Inc.,08/12/2021,Estimated
AVIR,"Atea Pharmaceuticals, Inc.",08/12/2021,Estimated
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",08/12/2021,Estimated
NMRD,Nemaura Medical Inc.,08/12/2021,Estimated
GRWG,GrowGeneration Corp.,08/12/2021,Estimated
ZIP,"ZipRecruiter, Inc.",08/12/2021,Estimated
BLBD,Blue Bird Corporation,08/12/2021,Estimated
SLGG,"Super League Gaming, Inc.",08/12/2021,Estimated
PAVM,PAVmed Inc.,08/12/2021,Estimated
ABCL,AbCellera Biologics Inc.,08/12/2021,Estimated
CRNX,"Crinetics Pharmaceuticals, Inc.",08/12/2021,Estimated
INNT,"Innovate Biopharmaceuticals, Inc.",08/12/2021,Estimated
OVID,Ovid Therapeutics Inc.,08/12/2021,Estimated
MTCR,"Metacrine, Inc.",08/12/2021,Estimated
CMPI,"Checkmate Pharmaceuticals, Inc.",08/12/2021,Estimated
LHDX,"Lucira Health, Inc.",08/12/2021,Estimated
ORIC,"ORIC Pharmaceuticals, Inc.",08/12/2021,Estimated
KZR,"Kezar Life Sciences, Inc.",08/12/2021,Estimated
BOXL,Boxlight Corporation,08/12/2021,Estimated
LMFA,"LM Funding America, Inc.",08/12/2021,Estimated
EDSA,"Edesa Biotech, Inc.",08/12/2021,Estimated
DBTX,"Decibel Therapeutics, Inc.",08/12/2021,Estimated
VRCA,Verrica Pharmaceuticals Inc.,08/12/2021,Estimated
FNCH,"Finch Therapeutics Group, Inc.",08/12/2021,Estimated
CCCC,"C4 Therapeutics, Inc.",08/12/2021,Estimated
SBTX,"Silverback Therapeutics, Inc.",08/12/2021,Estimated
GMTX,"Gemini Therapeutics, Inc.",08/12/2021,Estimated
ACHV,"Achieve Life Sciences, Inc.",08/12/2021,Estimated
FREQ,"Frequency Therapeutics, Inc.",08/12/2021,Estimated
DARE,"Daré Bioscience, Inc.",08/12/2021,Estimated
RPTX,Repare Therapeutics Inc.,08/12/2021,Estimated
PCSA,"Processa Pharmaceuticals, Inc.",08/12/2021,Estimated
CLVR,Clever Leaves Holdings Inc.,08/12/2021,Estimated
RXDX,"Prometheus Biosciences, Inc.",08/12/2021,Estimated
AKUS,"Akouos, Inc.",08/12/2021,Estimated
HUT,Hut 8 Mining Corp.,08/12/2021,Estimated
SRRK,Scholar Rock Holding Corporation,08/12/2021,Estimated
IMAC,"IMAC Holdings, Inc.",08/12/2021,Estimated
MOVE,Movano Inc.,08/12/2021,Estimated
INBX,"Inhibrx, Inc.",08/12/2021,Estimated
CBMB,"CBM Bancorp, Inc.",08/12/2021,Estimated
VOR,Vor Biopharma Inc.,08/12/2021,Estimated
EQ,"Equillium, Inc.",08/12/2021,Estimated
OSMT,Osmotica Pharmaceuticals plc,08/12/2021,Estimated
PCT,"PureCycle Technologies, Inc.",08/12/2021,Estimated
YCBD,"cbdMD, Inc.",08/12/2021,Estimated
EWTX,"Edgewise Therapeutics, Inc.",08/12/2021,Estimated
VLON,"Vallon Pharmaceuticals, Inc.",08/12/2021,Estimated
APRE,"Aprea Therapeutics, Inc.",08/12/2021,Estimated
MAXN,"Maxeon Solar Technologies, Ltd.",08/12/2021,Estimated
AGFY,Agrify Corporation,08/12/2021,Estimated
ITOS,"iTeos Therapeutics, Inc.",08/12/2021,Estimated
TREB,Trebia Acquisition Corp.,08/12/2021,Estimated
GROY,Gold Royalty Corp.,08/12/2021,Estimated
RKT,"Rocket Companies, Inc.",08/12/2021,Estimated
FCAX,Fortress Capital Acquisition Corp.,08/12/2021,Estimated
BITE,Bite Acquisition Corp.,08/12/2021,Estimated
ABGI,ABG Acquisition Corp. I,08/12/2021,Estimated
SVFB,SVF Investment Corp. 2,08/12/2021,Estimated
ARYD,ARYA Sciences Acquisition Corp IV,08/12/2021,Estimated
TWIN,"Twin Disc, Incorporated",08/13/2021,Pre-Market
ME,23andMe Holding Co.,08/13/2021,Pre-Market
VERO,Venus Concept Inc.,08/13/2021,Pre-Market
SDPI,"Superior Drilling Products, Inc.",08/13/2021,Pre-Market
ITRM,Iterum Therapeutics plc,08/13/2021,Pre-Market
LEV,The Lion Electric Company,08/13/2021,Pre-Market
VSTA,Vasta Platform Limited,08/13/2021,Pre-Market
DSEY,"Diversey Holdings, Ltd.",08/13/2021,Pre-Market
HRTX,"Heron Therapeutics, Inc.",08/13/2021,Estimated
LORL,Loral Space & Communications Inc.,08/13/2021,Estimated
LEU,Centrus Energy Corp.,08/13/2021,Estimated
PFSW,"PFSweb, Inc.",08/13/2021,Estimated
AIM,AIM ImmunoTech Inc.,08/13/2021,Estimated
ATRI,Atrion Corporation,08/13/2021,Estimated
HALL,"Hallmark Financial Services, Inc.",08/13/2021,Estimated
ARL,"American Realty Investors, Inc.",08/13/2021,Estimated
BRN,"Barnwell Industries, Inc.",08/13/2021,Estimated
GTBP,"GT Biopharma, Inc.",08/13/2021,Estimated
FRD,"Friedman Industries, Incorporated",08/13/2021,Estimated
GENC,"Gencor Industries, Inc.",08/13/2021,Estimated
JOB,"GEE Group, Inc.",08/13/2021,Estimated
IHC,Independence Holding Company,08/13/2021,Estimated
SNFCA,Security National Financial Corporation,08/13/2021,Estimated
SVT,"Servotronics, Inc.",08/13/2021,Estimated
TPHS,Trinity Place Holdings Inc.,08/13/2021,Estimated
TCI,"Transcontinental Realty Investors, Inc.",08/13/2021,Estimated
UG,"United-Guardian, Inc.",08/13/2021,Estimated
USEG,U.S. Energy Corp.,08/13/2021,Estimated
